task,encoder,model,agg,train-AP,validation-AP,test-AP
motion,r2plus1d,lr,mean,0.452 ± 0.006,0.15 ± 0.016,0.201
motion,r2plus1d,lr,concat,0.541 ± 0.011,0.149 ± 0.01,0.164
motion,r2plus1d,lr,abs_diff,0.341 ± 0.019,0.111 ± 0.006,0.144
motion,r2plus1d,xgboost,mean,0.831 ± 0.008,0.157 ± 0.007,0.185
motion,r2plus1d,xgboost,concat,0.827 ± 0.014,0.152 ± 0.012,0.165
motion,r2plus1d,xgboost,abs_diff,0.785 ± 0.009,0.122 ± 0.008,0.123
motion,r2plus1d,mlp,mean,0.783 ± 0.026,0.149 ± 0.014,0.176
motion,r2plus1d,mlp,concat,0.788 ± 0.009,0.167 ± 0.012,0.183
motion,r2plus1d,mlp,abs_diff,0.768 ± 0.015,0.13 ± 0.007,0.147
motion,r2plus1d,mlp_small,mean,0.774 ± 0.008,0.143 ± 0.017,0.175
motion,r2plus1d,mlp_small,concat,0.776 ± 0.016,0.162 ± 0.022,0.182
motion,r2plus1d,mlp_small,abs_diff,0.76 ± 0.011,0.122 ± 0.013,0.144
motion,r2plus1d,mlp_large,mean,0.801 ± 0.013,0.158 ± 0.015,0.194
motion,r2plus1d,mlp_large,concat,0.805 ± 0.009,0.184 ± 0.022,0.193
motion,r2plus1d,mlp_large,abs_diff,0.783 ± 0.012,0.124 ± 0.01,0.145
motion,swin,lr,mean,0.539 ± 0.011,0.135 ± 0.009,0.163
motion,swin,lr,concat,0.598 ± 0.015,0.127 ± 0.008,0.132
motion,swin,lr,abs_diff,0.398 ± 0.008,0.112 ± 0.007,0.143
motion,swin,xgboost,mean,0.825 ± 0.015,0.132 ± 0.005,0.159
motion,swin,xgboost,concat,0.818 ± 0.016,0.122 ± 0.02,0.137
motion,swin,xgboost,abs_diff,0.773 ± 0.009,0.107 ± 0.011,0.132
motion,swin,mlp,mean,0.788 ± 0.026,0.133 ± 0.011,0.157
motion,swin,mlp,concat,0.787 ± 0.028,0.132 ± 0.01,0.157
motion,swin,mlp,abs_diff,0.783 ± 0.008,0.108 ± 0.005,0.134
motion,swin,mlp_small,mean,0.787 ± 0.025,0.155 ± 0.016,0.15
motion,swin,mlp_small,concat,0.791 ± 0.018,0.127 ± 0.011,0.155
motion,swin,mlp_small,abs_diff,0.78 ± 0.01,0.101 ± 0.006,0.132
motion,swin,mlp_large,mean,0.81 ± 0.016,0.144 ± 0.005,0.158
